ID,Group,Q1_Pre,Q1_Post,Q2_Pre,Q2_Post,Q3_Pre,Q3_Post
4,Control,0.6,0.6,1,1,1,1
6,Control,0.8,0.8,1,1,0,0
9,Control,0.6,0.2,1,1,1,1
11,Control,0.6,0.4,0,1,0,0
14,Control,0,0.2,1,1,0,0
16,Control,0.4,0.4,1,1,0,0
20,Control,0.8,0.8,1,1,1,1
24,Control,0,0.8,0,0,1,0
26,Control,0.4,0.4,0,0,1,0
28,Control,0.8,0.4,1,0,0,0
2,Half,0.8,0.6,1,1,1,1
5,Half,0.8,0.4,0,1,1,1
8,Half,0.2,0.6,1,1,0,0
13,Half,0.4,0.6,1,1,0,0
15,Half,0.6,0.6,0,0,0,1
17,Half,0.4,0.6,0,0,0,0
18,Half,0.8,0.8,1,1,1,1
23,Half,0,0.4,1,0,0,0
25,Half,0.2,0.6,0,0,0,1
29,Half,0.8,0.8,1,1,1,0
1,Full,1,0.6,1,1,1,1
3,Full,0,0.4,0,0,0,0
7,Full,0.6,0.8,0,1,0,0
10,Full,0.6,0.6,1,0,0,0
12,Full,0.4,0.4,0,0,0,0
19,Full,0.8,0.8,1,1,0,0
21,Full,0.4,0.6,1,1,0,0
22,Full,0.2,0.8,1,1,0,0
27,Full,0.2,0.8,0,0,0,0
30,Full,0.2,0.8,0,0,0,0
