% Generated on 2022-05-10 at 16:33:57 PDT
% Excluded participant IDs: 28
Participant ID,Condition,Time to Complete Task 1 (s),Time to Complete Task 2 (s),Question 1,Question 2,Question 3
1,Full,398.53139996528625,206.37328720092773,-0.4,0,0
2,Half,527.7437341213226,316.2555949687958,-0.2,0,0
3,Full,1286.0672161579132,50.3375198841095,0.4,0,0
4,Control,None,None,0.0,0,0
5,Half,262.19855999946594,246.1946668624878,-0.4,1,0
6,Control,1081.522253036499,None,0.0,0,0
7,Full,1330.7278280258179,433.54631090164185,0.2,1,0
8,Half,910.2925341129303,None,0.4,0,0
9,Control,884.8944101333618,1075.036437034607,-0.4,0,0
10,Full,312.0452790260315,61.47652196884155,0.0,-1,0
11,Control,491.9534840583801,1808.6177310943604,-0.2,1,0
12,Full,641.3653430938721,169.1998748779297,0.0,0,0
13,Half,613.0551791191101,1278.7276179790497,0.2,0,0
14,Control,413.03472995758057,None,0.2,0,0
15,Half,505.2703959941864,None,0.0,0,1
16,Control,None,None,0.0,0,0
17,Half,1218.5745010375977,None,0.2,0,0
18,Half,341.09941601753235,193.27841591835022,0.0,0,0
19,Full,162.37101292610168,180.03794407844543,0.0,0,0
20,Control,259.77300000190735,583.4976398944855,0.0,0,0
21,Full,363.65566205978394,90.55161094665527,0.2,0,0
22,Full,839.097293138504,52.50321888923645,0.6,0,0
23,Half,981.5078980922699,694.7719979286194,0.4,-1,0
24,Control,153.33552193641663,None,0.8,0,-1
25,Half,404.30581998825073,1754.0308089256287,0.4,0,1
26,Control,857.1616749763489,570.9661610126495,0.0,0,-1
27,Full,681.2357821464539,247.23588490486145,0.6,0,0
29,Half,401.12478518486023,306.51132678985596,0.0,0,-1
30,Full,174.93821501731873,93.28327202796936,0.6,0,0
