% Generated on 2021-03-09 at 14:37:54 PST
Participant ID, Time to Complete Task 1 (s), Time to Complete Task 2 (s)
1, 398.53139996528625, 206.37328720092773
2, 527.7437341213226, 316.2555949687958
3, 1286.0672161579132, 50.3375198841095
4, None, None
5, 262.19855999946594, 246.1946668624878
6, 1081.522253036499, None
7, 1330.7278280258179, 433.54631090164185
8, 910.2925341129303, None
9, 884.8944101333618, 1075.036437034607
10, 312.0452790260315, 61.47652196884155
11, 491.9534840583801, 1808.6177310943604
12, 641.3653430938721, 169.1998748779297
13, 613.0551791191101, 1278.7276179790497
14, 413.03472995758057, None
15, 505.2703959941864, None
16, None, None
17, 1218.5745010375977, None
18, 341.09941601753235, 193.27841591835022
19, 162.37101292610168, 180.03794407844543
20, 259.77300000190735, 583.4976398944855
21, 363.65566205978394, 90.55161094665527
22, 839.097293138504, 52.50321888923645
23, 981.5078980922699, 694.7719979286194
24, 153.33552193641663, None
25, 404.30581998825073, 1754.0308089256287
26, 857.1616749763489, 570.9661610126495
27, 681.2357821464539, 247.23588490486145
29, 401.12478518486023, 306.51132678985596
30, 174.93821501731873, 93.28327202796936
